dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
3.529411,#00111a,#00111a,#00111a,#00111a,40.763679,-73.990346
2.083333,#00111a,#00111a,#00111a,#00111a,40.723767,-74.004844
11.4754,#00111a,#00111a,#00111a,#00111a,40.680817,-73.752528
5.46875,#00111a,#00111a,#00111a,#00111a,40.680315,-73.84202
2.493074,#00111a,#00111a,#00111a,#00111a,40.650104,-73.949582
4.347826,#00111a,#00111a,#00111a,#00111a,40.681918,-73.945597
6.382978,#00111a,#00111a,#00111a,#00111a,40.66927,-73.97875
1.960784,#00111a,#00111a,#00111a,#00111a,40.74336,-73.871498
3.260869,#00111a,#00111a,#00111a,#00111a,40.732148,-73.853596
10.44776,#00111a,#00111a,#00111a,#00111a,40.714722,-73.982528
9.259259,#00111a,#00111a,#00111a,#00111a,40.844001,-73.884535
5.660377,#00111a,#00111a,#00111a,#00111a,40.680817,-73.752528
2.209944,#00111a,#00111a,#00111a,#00111a,40.695447,-73.985602
10.89588,#00111a,#00111a,#00111a,#00111a,40.583274,-73.833653
3.947368,#00111a,#00111a,#00111a,#00111a,40.811068,-73.909522
4.859813,#00111a,#00111a,#00111a,#00111a,40.674715,-73.783887
5.194805,#00111a,#00111a,#00111a,#00111a,40.678899,-73.931664
0.0,#00111a,#00111a,#00111a,#00111a,40.771367,-73.924307
15.0,#00111a,#00111a,#00111a,#00111a,40.827486,-73.919027
9.090909,#00111a,#00111a,#00111a,#00111a,40.874772,-73.895199
14.26611,#00111a,#00111a,#00111a,#00111a,40.684972,-73.883042
12.90322,#00111a,#00111a,#00111a,#00111a,40.763679,-73.990346
3.703703,#00111a,#00111a,#00111a,#00111a,40.870196,-73.896468
0.0,#00111a,#00111a,#00111a,#00111a,40.582368,-73.968339
12.63736,#00111a,#00111a,#00111a,#00111a,40.839933,-73.839158
1.351351,#00111a,#00111a,#00111a,#00111a,40.764961,-73.826964
